ticket_id,description,category,priority
1,WiFi disconnects intermittently.,Network,Low
2,System slows down after installing new software.,Software,High
3,Password reset not working.,Account Access,Medium
4,Software update fails repeatedly.,Software,High
5,System slows down after installing new software.,Software,Critical
6,Network speed extremely slow.,Network,Low
7,Computer won't boot after shutdown.,Hardware,Low
8,Ethernet connection not detected.,Network,Medium
9,Software update fails repeatedly.,Software,Low
10,Two-factor authentication fails.,Account Access,High
11,Two-factor authentication fails.,Account Access,Low
12,Program freezes when saving a file.,Software,Low
13,Laptop overheats and shuts down.,Hardware,Medium
14,Two-factor authentication fails.,Account Access,Low
15,WiFi disconnects intermittently.,Network,Medium
16,Cannot connect to VPN.,Network,Medium
17,Cannot connect to VPN.,Network,High
18,User locked out of account.,Account Access,High
19,Computer won't boot after shutdown.,Hardware,High
20,User locked out of account.,Account Access,High
21,User locked out of account.,Account Access,High
22,Error message appears during login.,Software,Medium
23,Password reset not working.,Account Access,Medium
24,Laptop overheats and shuts down.,Hardware,Low
25,System slows down after installing new software.,Software,Critical
26,Cannot connect to VPN.,Network,Medium
27,Monitor displays flickering lines.,Hardware,Low
28,Account login loops back to sign-in page.,Account Access,Low
29,Password reset not working.,Account Access,Medium
30,Account login loops back to sign-in page.,Account Access,Medium
31,Permission denied when accessing shared folder.,Account Access,Low
32,WiFi disconnects intermittently.,Network,Medium
33,System slows down after installing new software.,Software,Low
34,Ethernet connection not detected.,Network,Low
35,Permission denied when accessing shared folder.,Account Access,Medium
36,Mouse disconnects randomly.,Hardware,Low
37,Error message appears during login.,Software,Medium
38,Monitor displays flickering lines.,Hardware,Medium
39,Program freezes when saving a file.,Software,High
40,Laptop overheats and shuts down.,Hardware,Medium
41,Program freezes when saving a file.,Software,High
42,Two-factor authentication fails.,Account Access,Low
43,Account login loops back to sign-in page.,Account Access,High
44,Laptop overheats and shuts down.,Hardware,Low
45,Permission denied when accessing shared folder.,Account Access,High
46,Permission denied when accessing shared folder.,Account Access,High
47,System slows down after installing new software.,Software,Low
48,Ethernet connection not detected.,Network,Low
49,Two-factor authentication fails.,Account Access,Low
50,Program freezes when saving a file.,Software,Low
51,Error message appears during login.,Software,Low
52,WiFi disconnects intermittently.,Network,Low
53,User locked out of account.,Account Access,Medium
54,Laptop overheats and shuts down.,Hardware,Low
55,Two-factor authentication fails.,Account Access,Low
56,Keyboard keys not responding.,Hardware,Critical
57,User locked out of account.,Account Access,Low
58,Password reset not working.,Account Access,Medium
59,Frequent packet loss during calls.,Network,High
60,Cannot connect to VPN.,Network,Low
61,Two-factor authentication fails.,Account Access,Medium
62,Two-factor authentication fails.,Account Access,Critical
63,Password reset not working.,Account Access,Medium
64,Computer won't boot after shutdown.,Hardware,Low
65,Keyboard keys not responding.,Hardware,Low
66,Cannot connect to VPN.,Network,Low
67,Permission denied when accessing shared folder.,Account Access,Medium
68,Laptop overheats and shuts down.,Hardware,Low
69,Program freezes when saving a file.,Software,Low
70,Application crashes when launching.,Software,High
71,Error message appears during login.,Software,Low
72,Permission denied when accessing shared folder.,Account Access,Low
73,Software update fails repeatedly.,Software,High
74,Mouse disconnects randomly.,Hardware,Medium
75,Two-factor authentication fails.,Account Access,Medium
76,System slows down after installing new software.,Software,Low
77,Two-factor authentication fails.,Account Access,High
78,WiFi disconnects intermittently.,Network,Low
79,Program freezes when saving a file.,Software,Low
80,Application crashes when launching.,Software,High
81,Computer won't boot after shutdown.,Hardware,High
82,Two-factor authentication fails.,Account Access,Low
83,Network speed extremely slow.,Network,Medium
84,Software update fails repeatedly.,Software,Critical
85,Mouse disconnects randomly.,Hardware,Medium
86,Computer won't boot after shutdown.,Hardware,Low
87,WiFi disconnects intermittently.,Network,Low
88,Password reset not working.,Account Access,Medium
89,Application crashes when launching.,Software,Low
90,Error message appears during login.,Software,Medium
91,Two-factor authentication fails.,Account Access,Low
92,Laptop overheats and shuts down.,Hardware,High
93,Software update fails repeatedly.,Software,Medium
94,Computer won't boot after shutdown.,Hardware,Critical
95,Network speed extremely slow.,Network,Low
96,Network speed extremely slow.,Network,Medium
97,Application crashes when launching.,Software,Low
98,Password reset not working.,Account Access,Low
99,Program freezes when saving a file.,Software,High
100,Program freezes when saving a file.,Software,Critical
101,Cannot connect to VPN.,Network,Medium
102,User locked out of account.,Account Access,Medium
103,Application crashes when launching.,Software,Low
104,Permission denied when accessing shared folder.,Account Access,Medium
105,Software update fails repeatedly.,Software,Medium
106,System slows down after installing new software.,Software,Medium
107,Account login loops back to sign-in page.,Account Access,Medium
108,Network speed extremely slow.,Network,Low
109,Keyboard keys not responding.,Hardware,Low
110,Password reset not working.,Account Access,High
111,Ethernet connection not detected.,Network,Low
112,Frequent packet loss during calls.,Network,Medium
113,Keyboard keys not responding.,Hardware,Medium
114,Program freezes when saving a file.,Software,Low
115,Monitor displays flickering lines.,Hardware,Medium
116,User locked out of account.,Account Access,High
117,Computer won't boot after shutdown.,Hardware,Low
118,System slows down after installing new software.,Software,High
119,Software update fails repeatedly.,Software,Low
120,Application crashes when launching.,Software,Critical
121,User locked out of account.,Account Access,Medium
122,Account login loops back to sign-in page.,Account Access,Low
123,Network speed extremely slow.,Network,Low
124,Cannot connect to VPN.,Network,Low
125,Software update fails repeatedly.,Software,Low
126,System slows down after installing new software.,Software,Medium
127,Cannot connect to VPN.,Network,High
128,Software update fails repeatedly.,Software,Low
129,Network speed extremely slow.,Network,High
130,Cannot connect to VPN.,Network,Low
131,Software update fails repeatedly.,Software,High
132,Error message appears during login.,Software,Low
133,WiFi disconnects intermittently.,Network,Critical
134,Permission denied when accessing shared folder.,Account Access,Medium
135,Account login loops back to sign-in page.,Account Access,High
136,Cannot connect to VPN.,Network,Low
137,Frequent packet loss during calls.,Network,High
138,Program freezes when saving a file.,Software,Critical
139,Software update fails repeatedly.,Software,High
140,Cannot connect to VPN.,Network,Low
141,Keyboard keys not responding.,Hardware,High
142,Cannot connect to VPN.,Network,Low
143,Cannot connect to VPN.,Network,Medium
144,Account login loops back to sign-in page.,Account Access,Medium
145,Program freezes when saving a file.,Software,Low
146,Ethernet connection not detected.,Network,Critical
147,Mouse disconnects randomly.,Hardware,Medium
148,System slows down after installing new software.,Software,Medium
149,Monitor displays flickering lines.,Hardware,Medium
150,Computer won't boot after shutdown.,Hardware,Low
151,Two-factor authentication fails.,Account Access,High
152,Keyboard keys not responding.,Hardware,High
153,Monitor displays flickering lines.,Hardware,Low
154,Keyboard keys not responding.,Hardware,Medium
155,Frequent packet loss during calls.,Network,Medium
156,Computer won't boot after shutdown.,Hardware,Low
157,Permission denied when accessing shared folder.,Account Access,Low
158,Laptop overheats and shuts down.,Hardware,Low
159,Two-factor authentication fails.,Account Access,High
160,Mouse disconnects randomly.,Hardware,Low
161,User locked out of account.,Account Access,Critical
162,WiFi disconnects intermittently.,Network,High
163,Frequent packet loss during calls.,Network,Low
164,WiFi disconnects intermittently.,Network,Critical
165,Mouse disconnects randomly.,Hardware,Critical
166,Account login loops back to sign-in page.,Account Access,Low
167,Password reset not working.,Account Access,Medium
168,Cannot connect to VPN.,Network,Medium
169,Password reset not working.,Account Access,Critical
170,Mouse disconnects randomly.,Hardware,High
171,System slows down after installing new software.,Software,High
172,WiFi disconnects intermittently.,Network,Low
173,System slows down after installing new software.,Software,Low
174,Mouse disconnects randomly.,Hardware,Critical
175,Two-factor authentication fails.,Account Access,Low
176,Network speed extremely slow.,Network,Low
177,User locked out of account.,Account Access,High
178,Ethernet connection not detected.,Network,Low
179,Program freezes when saving a file.,Software,High
180,Password reset not working.,Account Access,Critical
181,Two-factor authentication fails.,Account Access,Low
182,Two-factor authentication fails.,Account Access,Low
183,Account login loops back to sign-in page.,Account Access,Low
184,Frequent packet loss during calls.,Network,Low
185,Error message appears during login.,Software,Low
186,Account login loops back to sign-in page.,Account Access,High
187,Computer won't boot after shutdown.,Hardware,Medium
188,Application crashes when launching.,Software,Low
189,Computer won't boot after shutdown.,Hardware,Medium
190,Laptop overheats and shuts down.,Hardware,Medium
191,System slows down after installing new software.,Software,Critical
192,Password reset not working.,Account Access,Low
193,Keyboard keys not responding.,Hardware,High
194,Application crashes when launching.,Software,High
195,Account login loops back to sign-in page.,Account Access,Low
196,Error message appears during login.,Software,High
197,Password reset not working.,Account Access,Medium
198,Mouse disconnects randomly.,Hardware,High
199,Program freezes when saving a file.,Software,Medium
200,Permission denied when accessing shared folder.,Account Access,High
201,Password reset not working.,Account Access,Low
